Clone_name	Sample_identifier
ASC 5-a DYE1	STE0072I5DYE1
ASC 5-a DYE2	STE0072I5DYE2
ASC 5-a DYE3	STE0072I5DYE3
ASC 5-a deltaClbQ1	STE0072I5EKO1
ASC 5-a deltaClbQ2	STE0072I5EKO2
ASC 5-a deltaClbQ3	STE0072I5EKO3
ASC 5-a pks+ 1	STE0072I5EWT1
ASC 5-a pks+2	STE0072I5EWT2
ASC 5-a pks+3	STE0072I5EWT5
ASC 5-a deltaClbQ:ClbQ1	STE0072I3QA
ASC 5-a deltaClbQ:ClbQ2	STE0072I3QC
ASC 5-a deltaClbQ:ClbQ3	STE0072I3QD
ASC 6-a deltaClbQ1	STE0076I3EKOB
ASC 6-a deltaClbQ2	STE0076I3EKOE
ASC 6-a deltaClbQ3	STE0076I3EKOF
ASC 6-a pks+ 1	STE0076I3EWTA
ASC 6-a pks+ 2	STE0076I3EWTB
ASC 6-a pks+ 3	STE0076I3EWTC
